duration,orig_bytes,resp_bytes,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,version,cipher,curve,certificate,label
0.273075,684,72877,54,3068,56,75797,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,sect571r1,"57119652afbfeb5e0a4086ec142839764378f6b1fb79e46485aaf7c3ef261166,8fac576439c9fd3ef153b51f9edd0d381b5df7b87559cebeca04297dd44a639b,2d4fad3455ab61397401abbb518922f84336b67e02fc8d2db283825c4ab981bb",1
2.843592,2651,3769,14,3231,10,4177,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,"e7e8ea7e04e6debb5c5e883a03e1ee8ae4ab79dbf53b34ae37d6950d5b9b878f,f55f9ffcb83c73453261601c7e044db15a0f034b93c05830f28635ef889cf670,87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706,28689b30e4c306aab53b027b29e36ad6dd1dcf4b953994482ca84bdc1ecac996",1
2.056099,2241,5477,16,2901,13,6005,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,"483c3d17cade2b9828a673d062c6998a950fef55a5400499c7ffdf7cad4f0ea1,eae72eb454bf6c3977ebd289e970b2f5282949190093d0d26f98d0f0d6a9cf17",1
19.529914,3536,5516,26,4644,22,7435,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,"e7e8ea7e04e6debb5c5e883a03e1ee8ae4ab79dbf53b34ae37d6950d5b9b878f,f55f9ffcb83c73453261601c7e044db15a0f034b93c05830f28635ef889cf670,87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706,28689b30e4c306aab53b027b29e36ad6dd1dcf4b953994482ca84bdc1ecac996",1
2.583787,3624,5516,24,4664,23,7508,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,"e7e8ea7e04e6debb5c5e883a03e1ee8ae4ab79dbf53b34ae37d6950d5b9b878f,f55f9ffcb83c73453261601c7e044db15a0f034b93c05830f28635ef889cf670,87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706,28689b30e4c306aab53b027b29e36ad6dd1dcf4b953994482ca84bdc1ecac996",1
72.484195,7385,5380,16,8045,14,5952,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,"b2f9ce5e6693dc48e09033512a69b95a261cd634a410fb0e9b5fb4a4ddd67651,eae72eb454bf6c3977ebd289e970b2f5282949190093d0d26f98d0f0d6a9cf17",1
69.633449,6965,5131,24,7981,21,6496,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,"b2f9ce5e6693dc48e09033512a69b95a261cd634a410fb0e9b5fb4a4ddd67651,eae72eb454bf6c3977ebd289e970b2f5282949190093d0d26f98d0f0d6a9cf17",1
72.433771,1418,5131,11,1878,10,5539,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,"00b4bee824d2c05e295a044992f69f85ca7720f916fb61944d927e4a1d65e4c0,8fac576439c9fd3ef153b51f9edd0d381b5df7b87559cebeca04297dd44a639b,2d4fad3455ab61397401abbb518922f84336b67e02fc8d2db283825c4ab981bb",1
68.396072,4207,9458,16,4867,18,10186,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,"bdd7d7896bb014fb600ffffe7ea0630ba595492dd1d204fb017089e792d0af84,f55f9ffcb83c73453261601c7e044db15a0f034b93c05830f28635ef889cf670,87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706,28689b30e4c306aab53b027b29e36ad6dd1dcf4b953994482ca84bdc1ecac996",1
0.674159,1289,6224,13,1829,13,6752,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,"e88d785ab254e53fade2a15dadb96191b301773d33f0161d92bbe0ce0acb8263,8fac576439c9fd3ef153b51f9edd0d381b5df7b87559cebeca04297dd44a639b,2d4fad3455ab61397401abbb518922f84336b67e02fc8d2db283825c4ab981bb",1
