duration,orig_bytes,resp_bytes,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,version,cipher,curve,certificate,label
10.705996,468,4267,8,800,7,4551,TLSv12,TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256_OLD,secp256r1,"04b3cd78d04493d5260aea15cf1d54bd005899303c5c5523115faafa2e26d838,c3f697a92a293d86f9a3ee7ccb970e20e0050b8728cc83ed1b996ce9005d4c36,3c35cc963eb004451323d3275d05b353235053490d9cd83729a2faf5e7ca1cc0",0
14.756285,468,4267,8,800,7,4551,TLSv12,TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256_OLD,secp256r1,"04b3cd78d04493d5260aea15cf1d54bd005899303c5c5523115faafa2e26d838,c3f697a92a293d86f9a3ee7ccb970e20e0050b8728cc83ed1b996ce9005d4c36,3c35cc963eb004451323d3275d05b353235053490d9cd83729a2faf5e7ca1cc0",0
14.535698,470,3902,8,802,7,4186,TLSv12,TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256_OLD,secp256r1,"04b3cd78d04493d5260aea15cf1d54bd005899303c5c5523115faafa2e26d838,c3f697a92a293d86f9a3ee7ccb970e20e0050b8728cc83ed1b996ce9005d4c36,3c35cc963eb004451323d3275d05b353235053490d9cd83729a2faf5e7ca1cc0",0
15.500388,472,4284,8,804,7,4568,TLSv12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256_OLD,secp256r1,"3632251653025d08de48c5184e70f5886ff0a0ee00205aa3f88e164fe5fe32c1,c3f697a92a293d86f9a3ee7ccb970e20e0050b8728cc83ed1b996ce9005d4c36,3c35cc963eb004451323d3275d05b353235053490d9cd83729a2faf5e7ca1cc0",0
14.557387,470,3902,8,802,7,4186,TLSv12,TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256_OLD,secp256r1,"04b3cd78d04493d5260aea15cf1d54bd005899303c5c5523115faafa2e26d838,c3f697a92a293d86f9a3ee7ccb970e20e0050b8728cc83ed1b996ce9005d4c36,3c35cc963eb004451323d3275d05b353235053490d9cd83729a2faf5e7ca1cc0",0
5.587989,1689,4099,10,2101,9,4463,TLSv12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256_OLD,secp256r1,"3632251653025d08de48c5184e70f5886ff0a0ee00205aa3f88e164fe5fe32c1,c3f697a92a293d86f9a3ee7ccb970e20e0050b8728cc83ed1b996ce9005d4c36,3c35cc963eb004451323d3275d05b353235053490d9cd83729a2faf5e7ca1cc0",0
14.940536,470,3902,8,802,7,4186,TLSv12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256_OLD,secp256r1,"3632251653025d08de48c5184e70f5886ff0a0ee00205aa3f88e164fe5fe32c1,c3f697a92a293d86f9a3ee7ccb970e20e0050b8728cc83ed1b996ce9005d4c36,3c35cc963eb004451323d3275d05b353235053490d9cd83729a2faf5e7ca1cc0",0
13.83837,696,227,7,988,5,431,TLSv12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256_OLD,secp256r1,"3632251653025d08de48c5184e70f5886ff0a0ee00205aa3f88e164fe5fe32c1,c3f697a92a293d86f9a3ee7ccb970e20e0050b8728cc83ed1b996ce9005d4c36,3c35cc963eb004451323d3275d05b353235053490d9cd83729a2faf5e7ca1cc0",0
10.57245,466,3866,8,798,7,4150,TLSv12,TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256_OLD,secp256r1,"04b3cd78d04493d5260aea15cf1d54bd005899303c5c5523115faafa2e26d838,c3f697a92a293d86f9a3ee7ccb970e20e0050b8728cc83ed1b996ce9005d4c36,3c35cc963eb004451323d3275d05b353235053490d9cd83729a2faf5e7ca1cc0",0
14.397601,470,3902,8,802,7,4186,TLSv12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256_OLD,-,-,0
20.230794,468,4267,8,800,7,4551,TLSv12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256_OLD,secp256r1,"203cf022d1f847e0e2f879bebe3227673470008c3b6a4be56fb779c5dddc492f,c3f697a92a293d86f9a3ee7ccb970e20e0050b8728cc83ed1b996ce9005d4c36,3c35cc963eb004451323d3275d05b353235053490d9cd83729a2faf5e7ca1cc0",0
12.014428,480,4087,8,812,7,4371,TLSv12,TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256_OLD,secp256r1,"04b3cd78d04493d5260aea15cf1d54bd005899303c5c5523115faafa2e26d838,c3f697a92a293d86f9a3ee7ccb970e20e0050b8728cc83ed1b996ce9005d4c36,3c35cc963eb004451323d3275d05b353235053490d9cd83729a2faf5e7ca1cc0",0
10.993585,473,4282,8,805,7,4566,TLSv12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256_OLD,secp256r1,"3632251653025d08de48c5184e70f5886ff0a0ee00205aa3f88e164fe5fe32c1,c3f697a92a293d86f9a3ee7ccb970e20e0050b8728cc83ed1b996ce9005d4c36,3c35cc963eb004451323d3275d05b353235053490d9cd83729a2faf5e7ca1cc0",0
0.98356,1494,4565,9,1866,11,5009,TLSv12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256_OLD,secp256r1,"e043ecab7f09224a88f47224facb38263d1ad07ab5003e21f7668f060d789a80,c3f697a92a293d86f9a3ee7ccb970e20e0050b8728cc83ed1b996ce9005d4c36,3c35cc963eb004451323d3275d05b353235053490d9cd83729a2faf5e7ca1cc0",0
21.059626,473,4283,8,805,7,4567,TLSv12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256_OLD,secp256r1,"e043ecab7f09224a88f47224facb38263d1ad07ab5003e21f7668f060d789a80,c3f697a92a293d86f9a3ee7ccb970e20e0050b8728cc83ed1b996ce9005d4c36,3c35cc963eb004451323d3275d05b353235053490d9cd83729a2faf5e7ca1cc0",0
0.965524,1798,4565,9,2170,11,5009,TLSv12,TLS_RSA_WITH_AES_128_GCM_SHA256,-,"97f7160e2b918b41f4f351349e4519c7d8905ae7fe5bcf2c22dc7ebaac44fadb,90af11e577c72c940b40ec2f3d50507310091ee6196c9c16b228882264a4d808,3c35cc963eb004451323d3275d05b353235053490d9cd83729a2faf5e7ca1cc0",0
75.073625,3145,4601,12,3637,11,5045,TLSv12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256_OLD,secp256r1,"f7e953306264eee1b4780a28df94290005e7af43f2bf0d2a70e78307208e8a3b,c3f697a92a293d86f9a3ee7ccb970e20e0050b8728cc83ed1b996ce9005d4c36,3c35cc963eb004451323d3275d05b353235053490d9cd83729a2faf5e7ca1cc0",0
109.904582,3175,260874,67,5867,219,269638,TLSv12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256_OLD,secp256r1,"5a49418a0b5ff13feb99458408a2aa5dd5e081177d1b2b4b3016b2e0dd08930a,c3f697a92a293d86f9a3ee7ccb970e20e0050b8728cc83ed1b996ce9005d4c36,3c35cc963eb004451323d3275d05b353235053490d9cd83729a2faf5e7ca1cc0",0
68.03895,1658,4754,12,2150,12,5238,TLSv12,TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256_OLD,secp256r1,"04b3cd78d04493d5260aea15cf1d54bd005899303c5c5523115faafa2e26d838,c3f697a92a293d86f9a3ee7ccb970e20e0050b8728cc83ed1b996ce9005d4c36,3c35cc963eb004451323d3275d05b353235053490d9cd83729a2faf5e7ca1cc0",0
61.948816,4125,5197,13,4657,13,5721,TLSv12,TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256_OLD,secp256r1,"04b3cd78d04493d5260aea15cf1d54bd005899303c5c5523115faafa2e26d838,c3f697a92a293d86f9a3ee7ccb970e20e0050b8728cc83ed1b996ce9005d4c36,3c35cc963eb004451323d3275d05b353235053490d9cd83729a2faf5e7ca1cc0",0
76.064847,12904,16738,80,16116,89,20302,TLSv12,TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256_OLD,secp256r1,"04b3cd78d04493d5260aea15cf1d54bd005899303c5c5523115faafa2e26d838,c3f697a92a293d86f9a3ee7ccb970e20e0050b8728cc83ed1b996ce9005d4c36,3c35cc963eb004451323d3275d05b353235053490d9cd83729a2faf5e7ca1cc0",0
114.116623,1725,5236,13,2257,13,5760,TLSv12,TLS_RSA_WITH_AES_128_GCM_SHA256,-,"97f7160e2b918b41f4f351349e4519c7d8905ae7fe5bcf2c22dc7ebaac44fadb,90af11e577c72c940b40ec2f3d50507310091ee6196c9c16b228882264a4d808,3c35cc963eb004451323d3275d05b353235053490d9cd83729a2faf5e7ca1cc0",0
